iter	Passed	Remaining
787	4288	1153
788	4293	1148
789	4299	1142
790	4304	1137
791	4310	1132
792	4316	1126
793	4321	1121
794	4327	1115
795	4332	1110
796	4338	1105
797	4344	1099
798	4350	1094
799	4355	1088
800	4361	1083
801	4367	1078
802	4373	1072
803	4378	1067
804	4384	1062
805	4390	1056
806	4395	1051
807	4401	1045
808	4407	1040
809	4413	1035
810	4419	1029
811	4425	1024
812	4431	1019
813	4437	1013
814	4443	1008
815	4449	1003
816	4455	997
817	4461	992
818	4466	987
819	4472	981
820	4478	976
821	4484	971
822	4489	965
823	4495	960
824	4501	954
825	4506	949
826	4512	943
827	4518	938
828	4524	933
829	4529	927
830	4535	922
831	4541	916
832	4546	911
833	4552	906
834	4558	900
835	4564	895
836	4570	889
837	4575	884
838	4581	879
839	4587	873
840	4592	868
841	4598	862
842	4604	857
843	4610	852
844	4616	846
845	4621	841
846	4627	835
847	4632	830
848	4638	824
849	4644	819
850	4649	814
851	4655	808
852	4661	803
853	4666	797
854	4672	792
855	4678	786
856	4683	781
857	4689	776
858	4695	770
859	4701	765
860	4706	759
861	4712	754
862	4718	749
863	4723	743
864	4729	738
865	4735	732
866	4740	727
867	4746	721
868	4752	716
869	4757	710
870	4763	705
871	4768	700
872	4774	694
873	4780	689
874	4786	683
875	4793	678
876	4798	672
877	4804	667
878	4810	662
879	4816	656
880	4822	651
881	4827	645
882	4833	640
883	4839	635
884	4845	629
885	4850	624
886	4856	618
887	4862	613
888	4867	607
889	4874	602
890	4880	597
891	4886	591
892	4891	586
893	4897	580
894	4903	575
895	4908	569
896	4914	564
897	4920	558
898	4925	553
899	4931	547
900	4936	542
901	4942	536
902	4947	531
903	4953	526
904	4959	520
905	4965	515
906	4969	509
907	4974	504
908	4979	498
909	4983	492
910	4988	487
911	4992	481
912	4997	476
913	5001	470
914	5006	465
915	5011	459
916	5015	453
917	5020	448
918	5024	442
919	5029	437
920	5034	431
921	5039	426
922	5044	420
923	5050	415
924	5055	409
925	5061	404
926	5067	399
927	5073	393
928	5079	388
929	5085	382
930	5090	377
931	5096	371
932	5102	366
933	5108	360
934	5113	355
935	5119	350
936	5125	344
937	5131	339
938	5137	333
939	5143	328
940	5149	322
941	5154	317
942	5160	311
943	5166	306
944	5172	301
945	5177	295
946	5183	290
947	5188	284
948	5193	279
949	5199	273
950	5205	268
951	5210	262
952	5216	257
953	5222	251
954	5228	246
955	5233	240
956	5239	235
957	5245	229
958	5251	224
959	5256	219
960	5262	213
961	5267	208
962	5273	202
963	5279	197
964	5285	191
965	5290	186
966	5296	180
967	5302	175
968	5308	169
969	5313	164
970	5319	158
971	5325	153
972	5330	147
973	5336	142
974	5342	136
975	5347	131
976	5353	126
977	5359	120
978	5366	115
979	5372	109
980	5377	104
981	5383	98
982	5389	93
983	5395	87
984	5401	82
985	5406	76
986	5412	71
987	5418	65
988	5424	60
989	5430	54
990	5435	49
991	5441	43
992	5447	38
993	5452	32
994	5458	27
995	5464	21
996	5470	16
997	5475	10
998	5482	5
999	5487	0
